Date,Location,Name,Team,Time,Place
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","McAnulty, Dominic",Wesley,52.39,3
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Keyser, Erich",Ursinus,52.64,4
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Sanders, Shannon",Goucher,52.77,5
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Stone, Bobby",Gwynedd-Mercy,52.84,6
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Wilis-Lear, Kyree",Neumann,53.12,7
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Clinchoc, Jeremiah",Alvernia,53.35,8
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Walston, Cossion",Lebanon Valley,53.40,9
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Acevedo, Kevin",DeSales,53.47,10
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Kutz, Colby",Albright,53.68,11
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Harris, Raymond",Gwynedd-Mercy,53.70,12
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Sierzega, Anthony",Ursinus,53.82,13
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Maclin, Jacob",Catholic,53.93,14
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Baldwin, Bryan ",Elizabethtown,54.07,15
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Nazario, Matthew",Alvernia,54.08,16
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Glover, Kelvin",Cheyney,54.17,17
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Crenshaw, Johnny",Wesley,54.39,18
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","English, Christian",Keystone,54.50,19
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Miller, Brady",Messiah,54.62,20
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Sikanowicz, Zach",DeSales,54.66,21
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Sumpter, Marcus",Neumann,54.75,22
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Boles, Gregory",Dickinson,54.75,23
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Daubert, Carl",Misericordia,54.79,24
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Johnson, Kevin",Lebanon Valley,54.81,25
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Bergey, Collin",Gettysburg,54.82,26
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Flohr, Jeremy",Keystone,54.90,27
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Rill, Aaron",Delaware Valley,55.03,28
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","McCorey, Donte ",Cheyney,55.09,29
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Strum, David",Keystone,55.39,30
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Roszyk, Collin",Catholic,55.49,31
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Panos, Kris",Immaculata,55.54,32
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Wiggins, Ian",Ursinus,55.58,33
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Trombetta, David",Gettysburg,55.68,34
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","McCarthy, William",Dickinson,55.70,35
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Tirro, Luigi",Misericordia,55.84,36
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Ingalls, Braheem",DeSales,56.08,37
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Pierre, Gladson",Cheyney,56.40,38
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","McCord, Malcolm",Elizabethtown,58.52,39
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Schwartz, Eli",Goucher,58.99,40
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Durjan, Johathan",Neumann,59.71,41
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Hetzel, Alex",Catholic,1:00.15,42
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Francescangeli, Matthew",Immaculata,1:00.41,43
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Wilson, Justin",Goucher,1:03.35,44
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Hastings, Patrick",Delaware Valley,1:07.22,45
12/07/13,"Ursinus College-Bakes FH - Collegeville, PA","Hankinson, Tyler",Immaculata,1:09.18,46
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Turner, Adam",Ohio Wesleyan,50.40,1
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","McShane, Colin",Ohio Wesleyan,50.41,2
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Cook, Brian",Ohio Wesleyan,51.40,3
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Vajen, Marty",Muskingum,52.02,4
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Overstreet, Jonathan",Ohio Wesleyan,52.83,5
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Hansen, Nelson",Allegheny,53.19,6
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Wahner, Nathan",Case Western,54.10,7
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Webster, Logan",Ohio Wesleyan,54.37,8
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Price, Mack",Allegheny,54.67,9
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Wigham, Drew",Ohio Wesleyan,54.83,10
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Livingood, Paul",Allegheny,54.96,11
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Correa, Marcus",Muskingum,55.10,12
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Napier, Jarred",Case Western,58.68,13
12/07 - 12/08/13,"Case Western-Veale Convocation Center - Cleveland, OH","Samuel, Daniel",Case Western,1:01.99,14
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Hargrove, Lamar",Unattached,49.63,1
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Yates, Justin",Wittenberg,50.47,2
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Leonard, Xavier",Ohio Dominican,51.75,3
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Davis, Austin",Tiffin,52.68,4
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Tyzinski, Collin",Tiffin,55.11,5
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Pickett, Bryce",Motor City Track Club,56.08,6
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Clayton, demetrius",Unattached,56.33,7
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Rice, Eric ",Wittenberg,56.47,8
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Harris, Robert",Unattached,56.53,9
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Hughes, Deshea ",Wittenberg,57.47,10
12/07/13,"Tiffin-Heminger Center - Tiffin, OH","Boling, Craig",Wittenberg,58.25,11
12/07/13,"JDL Fast Track - Winston-Salem, NC","Claggett, Dorian",N. Carolina A&T,49.51,1
12/07/13,"JDL Fast Track - Winston-Salem, NC","Griffin, Jeremy",Limestone,50.64,2
12/07/13,"JDL Fast Track - Winston-Salem, NC","Lewis, Zach",Queens (N.C.),51.00,3
12/07/13,"JDL Fast Track - Winston-Salem, NC","Mingo, Byron",N. Carolina A&T,51.20,4
12/07/13,"JDL Fast Track - Winston-Salem, NC","Sung, Yol Ho",Va. Military Institute,51.35,5
12/07/13,"JDL Fast Track - Winston-Salem, NC","Townsend, Todd",N. Carolina A&T,51.40,6
12/07/13,"JDL Fast Track - Winston-Salem, NC","Henderson, Cole",Wingate,51.53,7
12/07/13,"JDL Fast Track - Winston-Salem, NC","Ray, Omar",Wingate,51.69,8
12/07/13,"JDL Fast Track - Winston-Salem, NC","Silvestri, Corey",Wingate,52.09,9
12/07/13,"JDL Fast Track - Winston-Salem, NC","glenn, jamar",Unattached,52.10,10
12/07/13,"JDL Fast Track - Winston-Salem, NC","Meadows, Jacob ",Concord,53.09,11
12/07/13,"JDL Fast Track - Winston-Salem, NC","Stevens, Chase",UNC-Asheville,53.62,12
12/07/13,"JDL Fast Track - Winston-Salem, NC","Harvey, Matt",Va. Military Institute,53.69,13
12/07/13,"JDL Fast Track - Winston-Salem, NC","Ball, Aidan",Va. Military Institute,54.08,14
12/07/13,"JDL Fast Track - Winston-Salem, NC","Stanley, Brandon",Limestone,54.35,15
12/07/13,"JDL Fast Track - Winston-Salem, NC","Jarrett, Fabian",Campbell,54.48,16
12/07/13,"JDL Fast Track - Winston-Salem, NC","Clifton, Bryant",Unattached,54.62,17
12/07/13,"JDL Fast Track - Winston-Salem, NC","Riech, Nate Gray Wolf",Furman,54.90,18
12/07/13,"JDL Fast Track - Winston-Salem, NC","Sumner, Jonathan",Guilford,55.06,19
12/07/13,"JDL Fast Track - Winston-Salem, NC","Harvey, Devin",Queens (N.C.),55.24,20
12/07/13,"JDL Fast Track - Winston-Salem, NC","Baker, Brock",Furman,55.39,21
12/07/13,"JDL Fast Track - Winston-Salem, NC","Karbah, Ayellor",Guilford,56.40,22
12/07/13,"JDL Fast Track - Winston-Salem, NC","Pierce, Briar",East Tenn. St.,56.69,23
12/07/13,"JDL Fast Track - Winston-Salem, NC","Reeder, Troy",Furman,56.74,24
12/07/13,"MSU-Mankato-Myers FH - Mankato, MN","Tibke, Kyle",Sioux Falls,51.58,1
12/07/13,"MSU-Mankato-Myers FH - Mankato, MN","Guelle, Dan",Unattached,51.86,2
12/07/13,"MSU-Mankato-Myers FH - Mankato, MN","Huisenga, Phil",Unattached,52.05,3
12/07/13,"MSU-Mankato-Myers FH - Mankato, MN","Jones, Zach",Augustana (S.D.),52.29,4
12/07/13,"MSU-Mankato-Myers FH - Mankato, MN","McMurtry, Justin ",Unattached,52.46,5
12/07/13,"MSU-Mankato-Myers FH - Mankato, MN","Cohen, Rashad",Unattached,53.63,6
12/07/13,"MSU-Mankato-Myers FH - Mankato, MN","Jackson, Jarod",Unattached,53.64,7
12/07/13,"MSU-Mankato-Myers FH - Mankato, MN","Mitchell, Pallan",Unattached,54.56,8
12/07/13,"MSU-Mankato-Myers FH - Mankato, MN","Trestrail, Mitch",Dakota State,54.68,9
12/07/13,"MSU-Mankato-Myers FH - Mankato, MN","Brice, Javontee",Unattached,55.01,10
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","Collins, Jeremy",Southern Maine,50.72,1
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","Abdillahi, Faisal",St. Joseph's (Me.),51.19,2
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","Webb, Daniel ",Southern Maine,51.38,3
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","McKnight, Malik ",Bowdoin,53.15,4
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","Charest, Roger",Southern Maine,53.19,5
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","Donnelan, James",Bowdoin,53.80,6
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","Hwang, Inho",Bowdoin,54.77,7
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","McCarraher, Mark",St. Joseph's (Me.),57.36,8
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","Brooks, Billy",St. Joseph's (Me.),58.04,9
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","Azzaretti, Sal",UM-Farmington,1:00.46,10
12/07/13,"Bowdoin College-Farley Field House - Brunswick, ME","McCann, Nate",UM-Farmington,1:01.46,11
12/07/13,"Reggie Lewis Center - Roxbury, MA","Williamson, Mark",Unattached,49.70,1
12/07/13,"Reggie Lewis Center - Roxbury, MA","Hewett, Fred",Eastern Conn. St.,49.98,2
12/07/13,"Reggie Lewis Center - Roxbury, MA","Baldasare, Matthew",Stonehill,50.11,3
12/07/13,"Reggie Lewis Center - Roxbury, MA","Gannon, Stephen",Worcester State,50.74,4
12/07/13,"Reggie Lewis Center - Roxbury, MA","Julien, Adam",Emmanuel (Mass.),50.78,5
12/07/13,"Reggie Lewis Center - Roxbury, MA","Bruno, Nathan",Emmanuel (Mass.),51.37,6
12/07/13,"Reggie Lewis Center - Roxbury, MA","Smith, Robert",Stonehill,51.47,7
12/07/13,"Reggie Lewis Center - Roxbury, MA","Naughton, Chris",Bridgewater St.,51.89,8
12/07/13,"Reggie Lewis Center - Roxbury, MA","Thomas, Ryan",Emmanuel (Mass.),51.90,9
12/07/13,"Reggie Lewis Center - Roxbury, MA","PANTHER, ANDREW",Lasell,52.19,10
12/07/13,"Reggie Lewis Center - Roxbury, MA","Knapton, Ian",Bridgewater St.,52.20,11
12/07/13,"Reggie Lewis Center - Roxbury, MA","Marcantonio, Justin",Unattached,52.32,12
12/07/13,"Reggie Lewis Center - Roxbury, MA","Olson, Neal",Gordon,52.51,13
12/07/13,"Reggie Lewis Center - Roxbury, MA","Chambers, Dvonte",Eastern Conn. St.,52.54,14
12/07/13,"Reggie Lewis Center - Roxbury, MA","McKinley, Shane",Worcester State,52.56,15
12/07/13,"Reggie Lewis Center - Roxbury, MA","Lawson, Shawn",UMass Boston,52.64,16
12/07/13,"Reggie Lewis Center - Roxbury, MA","Dussault, Benjamin",Worcester State,52.65,17
12/07/13,"Reggie Lewis Center - Roxbury, MA","Maciel, Kevin ",Worcester State,52.69,18
12/07/13,"Reggie Lewis Center - Roxbury, MA","Bailey, Omar",NAPS,52.89,19
12/07/13,"Reggie Lewis Center - Roxbury, MA","Simon, Nobert ",UMass Boston,53.33,20
12/07/13,"Reggie Lewis Center - Roxbury, MA","Jeffries, Keith",Norwich,53.45,21
12/07/13,"Reggie Lewis Center - Roxbury, MA","Nims, Tyler",Worcester State,53.72,22
12/07/13,"Reggie Lewis Center - Roxbury, MA","Corum, Shaun",Worcester State,53.72,23
12/07/13,"Reggie Lewis Center - Roxbury, MA","Fulford, Joey",Bridgewater St.,53.76,24
12/07/13,"Reggie Lewis Center - Roxbury, MA","Levenson, Nicholas ",Fitchburg St.,53.78,25
12/07/13,"Reggie Lewis Center - Roxbury, MA","Hamlet, Paul",UMass Dartmouth,53.80,26
12/07/13,"Reggie Lewis Center - Roxbury, MA","Huffert, Kyler",Assumption,53.87,27
12/07/13,"Reggie Lewis Center - Roxbury, MA","Rocheleau, Maximin",Fitchburg St.,53.99,28
12/07/13,"Reggie Lewis Center - Roxbury, MA","Niedzwiecky, Brian",Assumption,54.20,29
12/07/13,"Reggie Lewis Center - Roxbury, MA","Ofori, Isaac ",Worcester State,54.53,30
12/07/13,"Reggie Lewis Center - Roxbury, MA","Grasso, Ray",Regis (Mass.),54.56,31
12/07/13,"Reggie Lewis Center - Roxbury, MA","Joseph, Jonas",Bridgewater St.,54.80,32
12/07/13,"Reggie Lewis Center - Roxbury, MA","Perdue, Benjamin",Emmanuel (Mass.),54.97,33
12/07/13,"Reggie Lewis Center - Roxbury, MA","Popa, David",Gordon,55.11,34
12/07/13,"Reggie Lewis Center - Roxbury, MA","Petty, Matt",Assumption,55.48,35
12/07/13,"Reggie Lewis Center - Roxbury, MA","Peck, Alex",Ravens TC,55.63,36
12/07/13,"Reggie Lewis Center - Roxbury, MA","Houge, Matt",NAPS,56.42,37
12/07/13,"Reggie Lewis Center - Roxbury, MA","Dubuque, Parker ",Emmanuel (Mass.),56.48,38
12/07/13,"Reggie Lewis Center - Roxbury, MA","Sheehan, Edwin",Lasell,57.57,39
12/07/13,"Reggie Lewis Center - Roxbury, MA","Smith, Colin",Gordon,57.75,40
12/07/13,"Reggie Lewis Center - Roxbury, MA","Stewart, Shakeen",Roxbury CC,57.80,41
12/07/13,"Reggie Lewis Center - Roxbury, MA","Price, Eric ",Eastern Conn. St.,58.24,42
12/07/13,"Reggie Lewis Center - Roxbury, MA","Thurston-Edwards, Cevon",Club Sherman,58.38,43
12/07/13,"Reggie Lewis Center - Roxbury, MA","Olateju, Kolawole",Gordon,58.58,44
12/07/13,"Reggie Lewis Center - Roxbury, MA","Theberge, Mike",Assumption,58.63,45
12/07/13,"Reggie Lewis Center - Roxbury, MA","Kiely, Rob",Bridgewater St.,59.14,46
12/07/13,"Reggie Lewis Center - Roxbury, MA","Rullo, Jamie",Fitchburg St.,1:00.62,47
12/07/13,"Reggie Lewis Center - Roxbury, MA","Mendoza, Steven",Assumption,1:01.65,48
12/07/13,"Reggie Lewis Center - Roxbury, MA","LaPrise, Sean",Regis (Mass.),1:02.82,49
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Elkorchi, Youssef",Unattached,51.42,1
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Dietz, Eric ",Keene State,51.59,2
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Sanford, Devin",Keene State,51.88,3
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Arneaud, Deion",Unattached,53.07,4
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Sandel, Jamie",Amherst,53.75,5
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Davis, Jared",Trinity,53.97,6
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Ostrowski, John",Trinity,54.05,7
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Bond, Alan",Trinity,55.35,8
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Nejemeh, Albert",Trinity,56.00,9
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Moorhead, Henry",Trinity,56.02,10
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Bellas, Nicolas",Trinity,56.07,11
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Lee, Thomas",Trinity,58.56,12
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","McCoy, Shawn",Trinity,58.80,13
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Kinahan, William",Mass Velocity,58.88,14
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Rajfer, Robert ",Trinity,1:01.93,15
12/07/13,"Smith College-Indoor Track & Tennis - Northhampton, MA","Reid, Jordan",Trinity,1:02.59,16
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Lewis, Keith",UMass Lowell,48.56,1
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Erazo, George",St. Thomas Aquinas,48.88,2
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Ogunleye, Tunde",UMass Lowell,49.45,3
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Fruster, Jamal",Central Connecticut,49.46,4
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Nwanko, Obinna",Boston College,49.76,5
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Johnson, David ",Northeastern,50.20,6
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Edwards, Matt",Marist,50.25,7
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","James, Darren",Boston College,50.31,8
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Louine, Kevin",Bryant,50.32,9
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Mitchell, Cameron",UMass Lowell,50.40,10
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Kirby, Richard",UMass Lowell,50.61,11
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Reid, Kyle",Bryant,50.79,12
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Budd, Ryan",Central Connecticut,50.81,13
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Pytel, Tomasz",Central Connecticut,50.88,14
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Colon, Frankie",St. Thomas Aquinas,51.83,15
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Savvidou, Chris",Central Connecticut,52.07,16
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Benny, Eric ",Northeastern,52.92,17
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Dodge, Connor",Marist,53.18,18
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","King, Glenwood",True Start Athletics,54.29,19
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Gauthier, Andrew",UMass Lowell,54.41,20
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Wactor, Nick",Brandeis,54.42,21
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Wilson, Jeremy",Brandeis,54.59,22
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Guida, Andrew",GBTC,59.53,23
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Pierce, Roger",Mass Velocity TC,1:06.15,24
12/07/13,"Boston University-Track & Tennis Center - Boston, MA","Becker, Thomas",Unattached,1:06.43,25
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Bolze, Andrew",Unattached,48.81,1
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Wagner, Edward",Dartmouth,50.42,2
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Gomez, Phil",Dartmouth,50.78,3
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Brady, Jonathan",Dartmouth,51.43,4
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Moschella, Greg",Unattached,52.07,5
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Hislop, Jules",Dartmouth,52.32,6
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Goulding, William",Unattached,53.00,7
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Fischetti, Matthew",Nitehawks Sports,53.49,8
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Bonin, Fletcher ",Holy Cross,55.62,9
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Johnson, Amenawon",Holy Cross,55.80,10
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","McAfee, Ian",Unattached,56.21,11
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Burnett, Devontte",Cambridge Jets,57.45,12
12/07/13,"Harvard-Gordon Track and Tennis - Cambridge, MA","Kehoe, Mike",Unattached,59.14,13
12/07/13,"Springfield College-Field House - Springfield, MA","Forbes, Jarell",RIC,52.12,1
12/07/13,"Springfield College-Field House - Springfield, MA","Solivan, Carmelo",Westfield State,52.70,2
12/07/13,"Springfield College-Field House - Springfield, MA","Gower, Ryan",Springfield,53.12,3
12/07/13,"Springfield College-Field House - Springfield, MA","Gallager, Timothy",Westfield State,54.24,4
12/07/13,"Springfield College-Field House - Springfield, MA","Morton, Kyle",Westfield State,55.91,5
12/07/13,"Springfield College-Field House - Springfield, MA","Hobrook, Daniel",Westfield State,56.98,6
12/07/13,"Springfield College-Field House - Springfield, MA","Taggart, Joe",Springfield,57.89,7
12/07/13,"Springfield College-Field House - Springfield, MA","Moran, Patrick",Westfield State,58.33,8
12/07/13,"Springfield College-Field House - Springfield, MA","Rocha, Troy",Springfield,58.78,9
12/07/13,"Springfield College-Field House - Springfield, MA","Fitzpatrick, Gregory",Springfield,1:02.92,10
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Smith, Eli",NW Missouri,49.23,1
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Gathright, Jeremy",Baker,49.30,2
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Hester, Michael",UNAT-Kansas,49.31,3
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Ashley, Michael",Lincoln (Mo.),49.98,4
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Nickens, Marquel",Pittsburg St.,50.48,5
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Berndt, Dayshawn",Baker,50.61,6
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Mutanga, Tinashe",Oral Roberts,50.97,7
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Suntken, Todd ",NW Missouri,51.89,8
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Holland, Darryl",Pittsburg St.,51.96,9
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Riggins, Joseph",Highland CC,52.08,10
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Purdy, Adam",NW Missouri,52.12,11
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Hicks, D'Khari",Oral Roberts,52.23,12
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Ramler, Ryan",Pittsburg St.,52.48,13
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Moran, Dan",Friends,53.34,14
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Biedron, Trevor",Friends,54.30,15
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Grant, Nicholus",Lincoln (Mo.),54.58,16
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Cairney, Nick",Benedictine (Kan.),54.95,17
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Johnson, Brynton",Missouri Valley,55.25,18
12/07/13,"Kansas-Anschutz FH - Lawrence, KS","Coats, Earl",Missouri Valley,1:06.42,19
